Date,Price
20090329,98.58
20090330,97.293
20090331,97.433
20090401,99.15
20090402,98.51
20090403,99.395
20090404,99.395
20090405,99.395
20090406,100.458
20090407,101.055
20090408,100.495
20090409,100.464129
20090410,100.464129
20090411,100.464129
20090412,100.464129
20090413,100.225
20090414,99.081409
20090415,99.382879
20090416,99.36
20090417,99.36
20090418,99.36
20090419,99.36
20090420,99.236
20090421,97.895
20090422,98.665
20090423,98.013
20090424,98.013
20090425,98.013
20090426,98.013
20090427,96.78
20090428,96.765
20090429,96.435
20090430,97.468
20090501,98.713
20090502,98.713
20090503,98.713
20090504,99.265
20090505,98.985
20090506,98.851
20090507,98.851
20090508,99.111
20090509,98.465
20090510,98.465
20090511,98.745
20090512,97.515
20090513,96.139642
20090514,95.475
20090515,95.745
20090516,95.745
20090517,95.745
20090518,95.012435
20090519,96.26
20090520,96.102
20090521,95.034
20090522,94.45633
20090523,94.45633
20090524,94.45633
20090525,94.78
20090526,94.714
20090527,94.905
20090528,95.0375
20090529,97
20090530,97
20090531,97
20090601,95.322159
20090602,96.345
20090603,95.625
20090604,96.025
20090605,96.611184
20090606,96.611184
20090607,96.611184
20090608,98.825
20090609,98.072146
20090610,97.280612
20090611,98.1165
20090612,97.84
20090613,97.84
20090614,97.84
20090615,98.385
20090616,98.0795
20090617,96.588114
20090618,96.36853
20090619,96.144496
20090620,96.144496
20090621,96.144496
20090622,95.827
20090623,95.393
20090624,95.494549
20090625,95.835
20090626,96.1435
20090627,95.245
20090628,96.1435
20090629,95.245
20090630,95.938
20090701,95.938
20090702,96.593163
20090703,96.066043
20090704,96.066043
20090705,96.066043
20090706,95.465
20090707,95.465
20090708,94.272979
20090709,93.055
20090710,92.977
20090711,92.419
20090712,92.57
20090713,92.589
20090714,92.575
20090715,93.175
20090716,94.105
20090717,93.67
20090718,94.234
20090719,94.18
20090720,94.24
20090721,94.185
20090722,93.545
20090723,93.647
20090724,95.265
20090725,94.797
20090726,94.79
20090727,94.79
20090728,95.145
20090729,94.493
20090730,94.985
20090731,95.705
20090801,94.745
20090802,94.67
20090803,94.67
20090804,95.245
20090805,95.196
20090806,94.765
20090807,95.575
20090808,97.615
20090809,97.45
20090810,97.45
20090811,97.145
20090812,95.945
20090813,96.14
20090814,95.125
20090815,94.935
20090816,94.935
20090817,94.347
20090818,94.825
20090819,94.685
20090820,93.8925
20090821,94.105
20090822,94.37
20090823,94.385
20090824,94.385
20090825,94.465
20090826,94.065
20090827,94.265
20090828,93.717
20090829,93.536
20090830,93.54
20090831,91.865
20090901,92.975
20090902,93.048
20090903,92.215
20090904,92.56
20090905,92.967
20090906,93
20090907,92.915
20090908,92.93
20090909,92.085
20090910,92.025
20090911,91.662
20090912,90.443
20090913,90.67
20090914,90.655
20090915,90.996
20090916,90.965
20090917,91.005
20090918,91.185
20090919,91.3875
20090920,91.33
20090921,91.33
20090922,92.045
20090923,91.14
20090924,91.385
20090925,91.535
20090926,89.84
20090927,89.635
20090928,89.635
20090929,89.494
20090930,90.132
20091001,89.71
20091002,89.685
20091003,89.505
20091004,89.745
20091005,89.745
20091006,89.645
20091007,88.77
20091008,88.82
20091009,88.305
20091010,89.805
20091011,89.785
20091012,89.785
20091013,89.789
20091014,89.705
20091015,89.385
20091016,90.552
20091017,90.8555
20091018,90.895
20091019,90.895
20091020,90.665
20091021,90.844
20091022,91.0135
20091023,91.375
20091024,91.923
20091025,92.065
20091026,92.065
20091027,92.0665
20091028,92.112
20091029,90.606
20091030,91.365
20091031,90.345
20091101,90.085
20091102,90.085
20091103,90.565
20091104,90.29
20091105,90.945
20091106,90.431
20091107,89.806
20091108,89.875
20091109,89.875
20091110,89.906
20091111,89.853
20091112,89.885
20091113,90.4
20091114,89.534
20091115,89.665
20091116,89.665
20091117,89.334
20091118,89.385
20091119,89.373
20091120,88.96
20091121,88.925
20091122,88.885
20091123,88.885
20091124,89.155
20091125,88.568
20091126,87.675
20091127,86.495
20091128,86.917
20091129,86.575
20091130,86.575
20091201,86.13
20091202,86.628
20091203,87.215
20091204,88.165
20091205,89.835
20091206,90.54
20091207,90.46
20091208,89.433
20091209,88.395
20091210,87.891
20091211,88.212
20091212,89.188
20091213,89.055
20091214,89.055
20091215,88.725
20091216,89.894
20091217,89.61
20091218,90.35
20091219,90.505
20091220,90.435
20091221,90.435
20091222,90.955
20091223,91.7075
20091224,91.535
20091225,91.688
20091226,91.255
20091227,91.115
20091228,91.115
20091229,91.592
20091230,91.965
20091231,92.675
20100101,93.034
20100102,93.095
20100103,93.095
20100104,93.095
20100105,92.567
20100106,91.626
20100107,92.534
20100108,93.315
20100109,92.785
20100110,92.655
20100111,92.655
20100112,91.902
20100113,90.972
20100114,91.465
20100115,91.045
20100116,90.75
20100117,90.835
20100118,90.8
20100119,90.76
20100120,91.15
20100121,91.24
20100122,90.264
20100123,90.147
20100124,89.86
20100125,89.85
20100126,90.168
20100127,89.63
20100128,89.406
20100129,89.74
20100130,90.43
20100131,90.3
20100201,90.3
20100202,90.81
20100203,90.397
20100204,91.111
20100205,89.209
20100206,89.3
20100207,89.22
20100208,89.22
20100209,89.346
20100210,89.524
20100211,89.888
20100212,89.88
20100213,90.01
20100214,89.992
20100215,89.992
20100216,90
20100217,90.452
20100218,90.794
20100219,91.448
20100220,92.016
20100221,91.54
20100222,91.54
20100223,91.117
20100224,90.161
20100225,90.056
20100226,88.91
20100227,88.857
20100228,88.96
20100301,88.96
20100302,89.29
20100303,88.98
20100304,88.43
20100305,89.04
20100306,90.38
20100307,90.3
20100308,90.3
20100309,90.3
20100310,89.876
20100311,90.667
20100312,90.569
20100313,90.461
20100314,90.56
20100315,90.56
20100316,90.521
20100317,90.45
20100318,90.143
20100319,90.31
20100320,90.4
20100321,90.4
20100322,90.55
20100323,90.052
20100324,90.231
20100325,92.036
20100326,92.701
20100327,92.46
20100328,92.52
20100329,92.52
20100330,92.6
20100331,92.81
20100401,93.43
20100402,93.802
20100403,94.61
20100404,94.61
20100405,94.61
20100406,94.25
20100407,93.857
20100408,93.326
20100409,93.42
20100410,93.185
20100411,93.2
20100412,93.2
20100413,93.26
20100414,93.336
20100415,93.02
20100416,93.06
20100417,92.1
20100418,92.16
20100419,92.16
20100420,92.3
20100421,93.27
20100422,93.24
20100423,93.3
20100424,94.13
20100425,93.97
20100426,93.97
20100427,94.126
20100428,93.261
20100429,94.17
20100430,94.102
20100501,94.06
20100502,93.85
20100503,93.85
20100504,94.71
20100505,94.4
20100506,94.07
20100507,91.729
20100508,91.8
20100509,91.8
20100510,92.48
20100511,93.15
20100512,93.04
20100513,93.156
20100514,92.862
20100515,92.11
20100516,92.46
20100517,92.46
20100518,92.293
20100519,92.27
20100520,91.64
20100521,90.01
20100522,89.976
20100523,90.1
20100524,90.1
20100525,90.4
20100526,89.773
20100527,90.36
20100528,90.91
20100529,90.81
20100530,91.06
20100531,91.06
20100601,91.12
20100602,91.3
20100603,92.183
20100604,92.512
20100605,91.61
20100606,91.87
20100607,91.87
20100608,91.882
20100609,91.113
20100610,91.377
20100611,91.2
20100612,91.6
20100613,91.7
20100614,91.71
20100615,91.76
20100616,91.473
20100617,91.36
20100618,90.866
20100619,90.8
20100620,90.744
20100621,90.64
20100622,91.05
20100623,90.58
20100624,90.116
20100625,89.65
20100626,89.406
20100627,89.24
20100628,89.29
20100629,89.41
20100630,88.514
20100701,88.63
20100702,87.63
20100703,87.68
20100704,87.8
20100705,87.75
20100706,87.75
20100707,87.437
20100708,87.31
20100709,88.421
20100710,88.53
20100711,88.589
20100712,88.589
20100713,88.62
20100714,88.4
20100715,88.3
20100716,87.384
20100717,86.71
20100718,86.7
20100719,86.7
20100720,86.73
20100721,87.3
20100722,87.21
20100723,86.97
20100724,87.41
20100725,87.52
20100726,87.635
20100727,87.038
20100728,87.906
20100729,87.53
20100730,86.86
20100731,86.37
20100801,86.42
20100802,86.47
20100803,86.47
20100804,85.81
20100805,86.23
20100806,85.864
20100807,85.27
20100808,85.4
20100809,85.57
20100810,85.836
20100811,85.82
20100812,85.24
20100813,85.854
20100814,86.24
20100815,86.3
20100816,86.3
20100817,85.324
20100818,85.57
20100819,85.34
20100820,85.241
20100821,85.7
20100822,85.61
20100823,85.62
20100824,85.172
20100825,84.18
20100826,84.73
20100827,84.608
20100828,85.421
20100829,85.352
20100830,85.22
20100831,84.71
20100901,84.14
20100902,84.51
20100903,84.27
20100904,84.373
20100905,84.42
20100906,84.42
20100907,84.219
20100908,83.723
20100909,83.849
20100910,83.91
20100911,84.14
20100912,84.14
20100913,84.17
20100914,83.621
20100915,83.07
20100916,85.57
20100917,85.75
20100918,85.823
20100919,85.85
20100920,85.9
20100921,85.78
20100922,85.339
20100923,84.446
20100924,84.35
20100925,84.38
20100926,84.21
20100927,84.21
20100928,84.182
20100929,83.74
20100930,83.62
20101001,83.5
20101002,83.379
20101003,83.22
20101004,83.22
20101005,83.366
20101006,83.28
20101007,82.87
20101008,82.44
20101009,81.93
20101010,81.94
20101011,81.94
20101012,82.05
20101013,81.81
20101014,81.88
20101015,81.452
20101016,81.3
20101017,81.5
20101018,81.5
20101019,81.21
20101020,81.51
20101021,81.056
20101022,81.291
20101023,81.46
20101024,81.41
20101025,81.41
20101026,80.7
20101027,81.4
20101028,81.66
20101029,81.036
20101030,80.5
20101031,80.44
20101101,80.39
20101102,80.677
20101103,80.8
20101104,81.309
20101105,80.71
20101106,81.339
20101107,81.276
20101108,81.276
